Src,Eqid,Version,Datetime,Lat,Lon,Magnitude,Depth,NST,Region
us,b0006mfb,A,"Wednesday, November  9, 2011 13:49:21 UTC",-19.1469,-174.0675,4.7,10.00,29,"Tonga"
ak,10351362,1,"Wednesday, November  9, 2011 13:47:40 UTC",62.5420,-151.0220,2.6,89.40,36,"Central Alaska"
ak,10351351,1,"Wednesday, November  9, 2011 13:11:09 UTC",58.4818,-154.4656,3.5,9.90,37,"Alaska Peninsula"
nm,110911a,A,"Wednesday, November  9, 2011 12:35:48 UTC",36.1106,-89.3903,2.5,7.70,20,"Tennessee"
us,b0006med,5,"Wednesday, November  9, 2011 12:08:36 UTC",35.5308,-96.7702,3.0,4.90,17,"Oklahoma"
ak,10351340,1,"Wednesday, November  9, 2011 11:39:08 UTC",56.4675,-154.5146,3.2,60.30,11,"Kodiak Island region, Alaska"
us,b0006me4,5,"Wednesday, November  9, 2011 11:23:26 UTC",-6.8313,126.8556,4.8,440.20,35,"Banda Sea"
ak,10351321,1,"Wednesday, November  9, 2011 09:55:38 UTC",60.1770,-147.2481,2.8,0.10,32,"Southern Alaska"
us,b0006md2,7,"Wednesday, November  9, 2011 09:07:35 UTC",-3.5691,149.6041,4.9,34.70,57,"Bismarck Sea"
ak,10351289,1,"Wednesday, November  9, 2011 06:42:49 UTC",61.2231,-149.8963,2.6,2.90,29,"Southern Alaska"
nn,00354699,8,"Wednesday, November  9, 2011 06:40:23 UTC",39.2971,-115.7464,4.0,0.00, 6,"Nevada"
pr,11313000,0,"Wednesday, November  9, 2011 06:15:08 UTC",18.3719,-67.2929,3.0,116.30, 3,"Mona Passage, Puerto Rico"
ak,10351243,1,"Wednesday, November  9, 2011 03:08:18 UTC",61.2411,-150.4674,2.6,42.90,38,"Southern Alaska"
us,b0006mau,4,"Wednesday, November  9, 2011 02:35:33 UTC",-23.9970,-66.9424,4.4,200.20,19,"Salta, Argentina"
us,b0006mai,4,"Wednesday, November  9, 2011 01:20:44 UTC",37.9135,55.7645,4.2,30.00,18,"northern Iran"
ci,15073764,4,"Tuesday, November  8, 2011 22:54:40 UTC",34.6935,-120.2843,2.6,2.80,42,"Central California"
us,b0006m82,6,"Tuesday, November  8, 2011 22:45:08 UTC",36.9797,141.5193,5.0,35.00,19,"near the east coast of Honshu, Japan"
us,b0006m6u,5,"Tuesday, November  8, 2011 22:06:11 UTC",-24.4295,-67.0493,4.4,142.60,30,"Salta, Argentina"
us,b0006m6x,8,"Tuesday, November  8, 2011 22:05:51 UTC",38.7143,43.1330,5.6,9.40,321,"eastern Turkey"
us,b0006m52,3,"Tuesday, November  8, 2011 20:07:48 UTC",28.1075,142.8869,4.9,34.40,24,"Bonin Islands, Japan region"
nc,71057809,2,"Tuesday, November  8, 2011 19:32:44 UTC",38.8185,-122.7862,3.0,2.40,37,"Northern California"
nc,71677841,5,"Tuesday, November  8, 2011 19:32:37 UTC",38.8163,-122.7867,2.8,2.50,89,"Northern California"
nc,71677826,4,"Tuesday, November  8, 2011 19:06:54 UTC",41.0408,-125.3978,2.8,23.10,46,"offshore Northern California"
us,b0006m2q,5,"Tuesday, November  8, 2011 19:05:17 UTC",35.5355,-96.7967,3.6,5.10,45,"Oklahoma"
ci,15073692,3,"Tuesday, November  8, 2011 18:27:32 UTC",32.9133,-116.3578,3.0,11.10,137,"Southern California"
us,b0006lzv,7,"Tuesday, November  8, 2011 17:18:11 UTC",-34.1380,-72.0621,5.3,11.00,236,"offshore Libertador O'Higgins, Chile"
ak,10350704,1,"Tuesday, November  8, 2011 15:08:01 UTC",56.7045,-152.2419,3.1,5.80,13,"Kodiak Island region, Alaska"
us,2011taa4,7,"Tuesday, November  8, 2011 14:35:37 UTC",38.6681,43.5749,4.5,6.00,29,"eastern Turkey"
uu,00008414,1,"Tuesday, November  8, 2011 13:40:30 UTC",44.7970,-111.2097,2.5,10.50,26,"western Montana"
us,b0006lvj,6,"Tuesday, November  8, 2011 12:36:15 UTC",-25.3012,179.6340,4.4,498.10,56,"south of the Fiji Islands"
nc,71677591,3,"Tuesday, November  8, 2011 11:56:44 UTC",37.5753,-121.9732,2.8,9.60,152,"San Francisco Bay area, California"
us,b0006lub,2,"Tuesday, November  8, 2011 10:34:11 UTC",19.1096,146.0634,4.7,231.10,15,"Mariana Islands region"
us,b0006lu0,5,"Tuesday, November  8, 2011 10:17:27 UTC",-17.8700,-178.6485,4.1,563.20,67,"Fiji region"
ak,10350643,2,"Tuesday, November  8, 2011 09:47:18 UTC",60.3385,-153.0047,4.0,135.20,99,"Southern Alaska"
us,b0006lt2,6,"Tuesday, November  8, 2011 09:11:11 UTC",8.1757,-103.3217,4.7,10.10,124,"northern East Pacific Rise"
us,b0006lsn,7,"Tuesday, November  8, 2011 08:36:10 UTC",18.8278,-103.8956,4.2,18.80,37,"Colima, Mexico"
us,b0006lsp,5,"Tuesday, November  8, 2011 08:35:00 UTC",37.5641,144.0514,5.0,36.10,37,"off the east coast of Honshu, Japan"
ak,10350614,1,"Tuesday, November  8, 2011 06:49:15 UTC",62.3536,-148.9954,3.1,11.60,62,"Central Alaska"
us,b0006ls0,5,"Tuesday, November  8, 2011 06:11:48 UTC",-10.6564,166.0372,4.5,186.50,62,"Santa Cruz Islands"
ak,10350575,2,"Tuesday, November  8, 2011 03:29:37 UTC",51.9017,-171.7340,3.6,30.90,11,"Fox Islands, Aleutian Islands, Alaska"
